Sample: Test, Area: 100, Today: 11:03:30 Oct. 09 2024, Vgate= 0

Bias (V)	Current (A)
0	-2.04325E-14
0.5	1.64768E-11
1	8.86384E-11
1.5	1.55921E-10
2	4.96841E-10
2.5	9.26647E-10
3	2.43378E-09
3.5	4.6434E-09
4	7.49019E-09
4.5	1.02357E-08
5	1.39863E-08
5.5	1.62983E-08
6	1.82924E-08
6.5	2.13675E-08
7	2.18867E-08
7.5	2.41316E-08
8	2.6619E-08
8.5	2.54417E-08
9	2.7851E-08
9.5	2.70222E-08
10	3.38487E-08
10.5	3.24129E-08
11	2.97714E-08
11.5	3.38809E-08
12	3.62943E-08
12.5	3.99405E-08
13	4.246E-08
13.5	4.1586E-08
14	5.22692E-08
14.5	5.04567E-08
15	5.45045E-08
15	5.0155E-08
14.5	5.37571E-08
14	4.91077E-08
13.5	4.04109E-08
13	4.09879E-08
12.5	3.58297E-08
12	3.69107E-08
11.5	3.51509E-08
11	3.56805E-08
10.5	3.69487E-08
10	3.60625E-08
9.5	3.06373E-08
9	2.83027E-08
8.5	3.11162E-08
8	2.88832E-08
7.5	2.26516E-08
7	2.08249E-08
6.5	1.52609E-08
6	1.04991E-08
5.5	6.23244E-09
5	2.99837E-09
4.5	1.35862E-09
4	8.59817E-10
3.5	3.09492E-10
3	1.10445E-10
2.5	6.21464E-11
2	1.37931E-11
1.5	4.38911E-12
1	1.65062E-12
0.5	6.25408E-13
0	1.7004E-13
-0.5	-5.27966E-13
-1	-3.74964E-12
-1.5	-1.1887E-11
-2	-3.15261E-11
-2.5	-6.68601E-11
-3	-8.27214E-11
-3.5	-1.82468E-10
-4	-3.12118E-10
-4.5	-4.7258E-10
-5	-6.76963E-10
-5.5	-9.12225E-10
-6	-1.21636E-09
-6.5	-2.17766E-09
-7	-3.2907E-09
-7.5	-4.80953E-09
-8	-6.7642E-09
-8.5	-8.54874E-09
-9	-1.09324E-08
-9.5	-1.46102E-08
-10	-1.88694E-08
-10.5	-2.39358E-08
-11	-2.89741E-08
-11.5	-3.44683E-08
-12	-3.98222E-08
-12.5	-4.50415E-08
-13	-5.15574E-08
-13.5	-5.93856E-08
-14	-6.81195E-08
-14.5	-7.62762E-08
-15	-8.14213E-08
-15	-7.73242E-08
-14.5	-6.31355E-08
-14	-5.1619E-08
-13.5	-4.04717E-08
-13	-3.08637E-08
-12.5	-2.33523E-08
-12	-1.68324E-08
-11.5	-1.20725E-08
-11	-8.79395E-09
-10.5	-5.8851E-09
-10	-4.02553E-09
-9.5	-2.60472E-09
-9	-1.65025E-09
-8.5	-1.04443E-09
-8	-8.59187E-10
-7.5	-5.06954E-10
-7	-2.90967E-10
-6.5	-1.51547E-10
-6	-1.31649E-10
-5.5	-6.68213E-11
-5	-2.34441E-11
-4.5	-1.23881E-11
-4	-6.62684E-12
-3.5	-4.05364E-12
-3	-2.42981E-12
-2.5	-1.64332E-12
-2	-1.03619E-12
-1.5	-7.84087E-13
-1	-4.31573E-13
-0.5	1.6619E-13
0	-5.06735E-13

